hab_lbl,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Min Mass (EU),P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Mag from Planet,S. Size from Planet (deg),S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,P. Habitable
0,2,4,3,2,18.2179136691,3.88,1.55,1.05,1.63,1.59,466.4485,466.4485,466.4486,1184,1184,1184,1224,1224,1224,4.1,-24.83,2.94,4.02,0.0506,0,0.05,86.8916666667,0,1.07,1.1,5757,1.192505,0.28,4.1862139785,11.4,-33.4,11.6136,0.821,1.934,-2.38,-0.15,-0.84,0.28,0.28,0
0,2,2,3,2,18.2179136691,23.12,2.42,1.63,3.95,3.09,128.5021,128.5021,128.5021,857.8,857.8,857.8,907.3,907.3,907.3,37.8,-24.4,4.6,10.56,0.0963,0,0.1,86.8916666667,0,1.07,1.1,5757,1.192505,0.28,4.1862139785,11.4,-32,6.0881,0.821,1.934,-2.3,-0.11,0.31,0.3,0.24,0
0,2,2,3,2,18.2179136691,8.58,1.9,1.24,2.37,2.12,379.4331,379.4332,379.4332,1124.4,1124.4,1124.4,1168.6,1168.6,1168.6,10.7,-25.06,3.62,5.35,0.0621,0,0.06,86.2,0,0.89,1.23,5730,1.46325,-0.53,10.77,11.1,-33.2,10.5703,0.91,2.148,-2.37,-0.15,-0.51,0.29,0.26,0
0,2,2,3,2,18.2179136691,10.88,2.03,1.31,2.65,2.32,121.9863,121.9863,121.9863,846.7,846.7,846.7,892,892,892,14.2,-23.96,3.85,1.29,0.0188,0,0.02,86.8916666667,0,0.53,0.51,3676,0.043115,-0.22,4.1862139785,13.7474471831,-32,14.5811,0.169,0.436,-2.13,-0.13,-0.19,0.32,0.26,0
0,2,2,3,2,18.2179136691,9.09,1.94,1.25,2.42,2.17,17.88396,17.88396,17.88396,523.9,523.9,523.9,568.3,568.3,568.3,11.3,-21.76,3.68,5.44,0.0491,0,0.05,86.8916666667,0,0.53,0.51,3676,0.043115,-0.22,4.1862139785,13.7474471831,-29.9,5.5701,0.169,0.436,-1.9,-0.14,0.1,0.34,0.33,0
0,2,2,3,2,18.2179136691,16.46,2.24,1.46,3.28,2.71,3.15283,4.462212,6.527848,339.5,368,407.2,387.1,415.6,454.8,24.1,-20.58,4.26,21.17,0.127,0.18,0.12,89.5,0,0.61,0.59,3880,0.070782,-0.1280114286,0.8,13.7474471831,-28.4,2.5173,0.216,0.551,-1.53,-0.12,0.99,0.35,0.48,0
0,2,2,3,2,18.2179136691,10.64,2.02,1.3,2.62,2.3,17.97536,21.85776,26.84962,524.6,549.8,579.9,569.8,595.1,625.2,13.8,-22.07,3.83,14.68,0.1089,0.1,0.11,89.4,0,0.8,0.73,4819,0.257848,-0.1280114286,0.8,13.7474471831,-30.1,3.5914,0.401,0.977,-2.01,-0.13,0.16,0.33,0.31,0
0,2,2,3,2,18.2179136691,16.46,2.24,1.46,3.28,2.71,20.39376,20.39376,20.39376,541.4,541.4,541.4,589,589,589,24.1,-22.22,4.26,2.64,0.0266,0,0.03,86.8916666667,0,0.36,0.35,3385,0.01443,-0.02,4.1862139785,13.7474471831,-30,7.0164,0.098,0.257,-1.91,-0.12,0.52,0.34,0.3,0
0,2,2,3,2,18.2179136691,8.48,1.9,1.23,2.34,2.11,44.02319,62.30619,91.14883,656.2,711.4,787.2,700.3,755.4,831.2,10.4,-23.1,3.62,1.97,0.0246,0.18,0.02,88,0,0.51,0.48,3660,0.037093,-0.1280114286,0.8,13.7474471831,-31.3,10.5855,0.157,0.405,-2.07,-0.14,-0.21,0.32,0.28,0
0,2,4,3,2,18.2179136691,2.37,1.34,0.97,1.31,1.33,26.51129,32.23732,39.59966,578.1,605.9,639.1,615.7,643.5,676.7,2.3,-21.61,2.55,9.92,0.0828,0.1,0.08,89,0,0.77,0.71,4695,0.21976,-0.1280114286,0.8,13.7474471831,-30.5,4.5955,0.372,0.911,-2.07,-0.16,-0.69,0.31,0.33,0
